Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+024.863,+001.068,+165.767,+0.714,+0.496,-0.597,+00.1690,-02.4880,+09.7430,-00.001437,-00.000538,-00.000256
+024.876,+001.071,+165.771,+0.713,+0.495,-0.599,+00.1950,-02.4460,+09.7140,-00.000570,+00.000831,+00.000002
+024.869,+001.071,+165.771,+0.714,+0.494,-0.595,+00.1830,-02.4540,+09.7150,-00.001237,+00.000531,-00.001021
+024.864,+001.068,+165.776,+0.715,+0.494,-0.593,+00.1970,-02.4890,+09.6670,+00.000784,-00.000013,+00.000419
+024.875,+001.070,+165.770,+0.714,+0.498,-0.594,+00.2030,-02.4490,+09.7280,-00.000607,-00.000220,+00.001122
+024.878,+001.076,+165.765,+0.716,+0.506,-0.601,+00.1870,-02.4720,+09.6920,+00.000048,-00.000794,-00.000491
+024.876,+001.072,+165.765,+0.717,+0.501,-0.597,+00.1830,-02.4530,+09.7290,-00.000201,+00.000601,+00.001100
+024.863,+001.072,+165.771,+0.718,+0.504,-0.602,+00.2090,-02.4760,+09.7160,+00.000515,-00.000142,-00.000751
+024.859,+001.072,+165.770,+0.718,+0.495,-0.596,+00.1810,-02.4700,+09.6960,-00.001072,+00.000630,-00.000258
+024.864,+001.072,+165.769,+0.714,+0.498,-0.594,+00.1910,-02.4980,+09.7110,+00.001322,-00.000377,+00.000047
+024.850,+001.070,+165.780,+0.715,+0.494,-0.593,+00.1900,-02.4550,+09.7220,+00.000348,-00.001352,+00.001411
+024.858,+001.067,+165.779,+0.714,+0.493,-0.599,+00.1740,-02.4680,+09.7150,+00.000359,+00.000875,+00.000315
+024.855,+001.065,+165.796,+0.716,+0.496,-0.598,+00.1630,-02.4160,+09.7900,-00.007815,+00.002516,-00.002256
+028.613,+001.052,+165.728,+0.683,+0.505,-0.589,+00.1770,-02.4960,+09.7630,-00.003184,+00.033731,-00.134692
+039.957,+001.006,+165.637,+0.592,+0.503,-0.594,-00.0520,-02.5140,+09.5220,+00.000504,+00.072351,-00.257990
+057.320,+001.013,+165.675,+0.475,+0.470,-0.595,+00.3680,-02.3040,+09.7410,-00.006120,+00.069266,-00.269235
+060.532,+001.165,+165.582,+0.461,+0.470,-0.601,+00.1160,-02.5140,+09.7960,-00.000274,-00.001389,-00.012996
+078.632,+001.144,+165.634,+0.384,+0.418,-0.615,+00.2980,-02.3780,+09.4450,-00.016416,+00.084013,-00.299198
+095.204,+002.166,+166.328,+0.349,+0.377,-0.639,+00.4250,-02.2850,+09.8370,+00.024365,+00.103713,-00.193077
+112.122,+001.121,+165.560,+0.359,+0.352,-0.656,+00.4030,-02.4690,+09.8640,+00.011122,+00.083230,-00.254977
+115.289,+001.152,+165.675,+0.356,+0.359,-0.660,+00.2490,-02.4000,+09.7560,+00.000508,-00.000734,+00.000653
+115.254,+001.207,+165.782,+0.356,+0.349,-0.657,+00.2450,-02.3910,+09.7380,+00.000087,-00.000117,+00.001229
+115.220,+001.276,+165.875,+0.360,+0.362,-0.660,+00.2440,-02.3940,+09.7130,+00.000913,-00.000694,-00.000585
+115.184,+001.351,+165.986,+0.353,+0.353,-0.657,+00.2310,-02.4110,+09.7250,+00.001243,-00.000343,+00.000889
+115.147,+001.395,+166.047,+0.361,+0.350,-0.657,+00.2600,-02.4190,+09.7380,+00.000534,-00.000240,+00.000199
+115.107,+001.418,+166.076,+0.358,+0.348,-0.651,+00.2590,-02.4170,+09.7170,-00.000417,+00.001196,+00.000617
+115.059,+001.431,+166.086,+0.362,+0.352,-0.663,+00.2460,-02.4240,+09.7300,-00.000155,+00.000172,+00.001227
+115.007,+001.434,+166.097,+0.359,+0.347,-0.656,+00.2400,-02.4340,+09.7450,+00.000439,-00.000650,-00.000036
+114.955,+001.438,+166.104,+0.355,+0.351,-0.655,+00.2910,-02.4080,+09.7380,+00.002726,-00.001321,-00.001280
+114.899,+001.437,+166.104,+0.358,+0.357,-0.655,+00.2870,-02.3790,+09.7270,-00.000453,+00.000185,+00.001204
+114.842,+001.436,+166.104,+0.362,+0.354,-0.654,+00.2490,-02.3990,+09.7210,-00.000641,+00.000376,+00.000059
+114.781,+001.434,+166.100,+0.361,+0.350,-0.659,+00.2320,-02.3910,+09.7270,+00.000085,+00.000002,+00.001632
+114.720,+001.439,+166.107,+0.362,+0.363,-0.656,+00.2540,-02.4130,+09.7250,+00.000533,-00.000774,+00.001295
+114.164,+001.446,+166.100,+0.360,+0.347,-0.661,+00.2440,-02.3980,+09.7490,+00.000583,-00.000339,-00.000202
+113.773,+001.443,+166.105,+0.361,+0.363,-0.656,+00.2610,-02.4240,+09.7210,+00.000107,-00.000336,+00.000468
+113.693,+001.439,+166.107,+0.360,+0.349,-0.660,+00.2600,-02.4190,+09.7520,+00.000161,+00.000031,+00.000998
+113.609,+001.437,+166.105,+0.360,+0.347,-0.654,+00.2520,-02.4020,+09.7040,+00.000517,+00.000613,+00.000447
+113.522,+001.443,+166.108,+0.363,+0.348,-0.666,+00.2550,-02.4130,+09.7180,-00.000434,-00.000877,-00.000579
+113.428,+001.445,+166.114,+0.363,+0.355,-0.655,+00.2490,-02.4100,+09.7510,+00.000442,-00.000510,-00.000662
+113.335,+001.445,+166.106,+0.358,+0.350,-0.651,+00.2320,-02.4050,+09.7100,+00.000062,-00.000623,+00.000137
+113.237,+001.447,+166.110,+0.363,+0.349,-0.653,+00.2340,-02.4310,+09.7070,+00.000169,-00.000520,-00.000519
+113.135,+001.444,+166.111,+0.358,+0.355,-0.656,+00.2530,-02.4080,+09.7300,-00.000525,-00.000083,+00.000556
+113.027,+001.445,+166.101,+0.362,+0.348,-0.654,+00.2400,-02.4010,+09.7530,+00.001056,+00.000640,+00.001716
+112.915,+001.444,+166.103,+0.361,+0.358,-0.652,+00.2550,-02.3950,+09.7110,+00.001238,-00.000013,+00.001052
+112.809,+001.442,+166.102,+0.357,+0.356,-0.657,+00.2760,-02.4000,+09.7190,+00.001722,+00.000310,-00.000031
+112.694,+001.439,+166.102,+0.361,+0.351,-0.649,+00.2390,-02.4060,+09.7540,-00.001150,+00.000651,+00.000378
+112.577,+001.438,+166.104,+0.357,+0.350,-0.653,+00.2500,-02.3820,+09.7080,+00.000701,-00.000567,-00.000483
+112.454,+001.431,+166.110,+0.361,+0.347,-0.661,+00.2560,-02.4280,+09.7670,+00.000926,-00.000905,-00.000127
+112.319,+001.439,+166.109,+0.360,+0.353,-0.649,+00.2650,-02.4000,+09.7480,-00.000091,-00.000909,+00.001099
+112.188,+001.441,+166.110,+0.361,+0.353,-0.658,+00.2380,-02.4100,+09.7370,-00.000121,-00.000554,+00.001438
+112.053,+001.439,+166.107,+0.365,+0.356,-0.666,+00.2310,-02.4040,+09.7350,-00.000596,+00.000364,+00.001196
+111.909,+001.438,+166.104,+0.361,+0.346,-0.650,+00.2760,-02.4180,+09.7190,+00.000307,-00.000547,-00.000145
+111.764,+001.440,+166.103,+0.358,+0.350,-0.651,+00.2500,-02.3970,+09.7050,-00.000097,-00.001089,+00.001375
+111.612,+001.441,+166.096,+0.358,+0.354,-0.656,+00.2600,-02.4300,+09.7180,-00.001588,-00.000220,-00.000666
+111.457,+001.442,+166.099,+0.360,+0.345,-0.650,+00.2390,-02.4000,+09.7050,+00.000156,-00.000170,+00.000344
+111.297,+001.432,+166.105,+0.363,+0.350,-0.661,+00.2770,-02.4050,+09.7310,-00.000593,+00.000539,+00.000399
+111.135,+001.435,+166.105,+0.361,+0.350,-0.650,+00.2720,-02.3900,+09.7050,+00.001513,-00.000302,-00.000268
+110.959,+001.435,+166.098,+0.362,+0.353,-0.650,+00.2330,-02.4160,+09.7220,+00.000210,+00.000394,+00.000619
+110.788,+001.437,+166.098,+0.357,+0.350,-0.656,+00.2710,-02.4260,+09.7210,+00.001142,-00.001001,+00.001465
+110.610,+001.440,+166.100,+0.358,+0.349,-0.658,+00.2560,-02.4150,+09.7070,+00.001255,+00.000258,-00.000032
+110.427,+001.439,+166.101,+0.360,+0.352,-0.651,+00.2450,-02.3990,+09.6810,-00.000422,+00.000178,+00.000018
+110.236,+001.437,+166.099,+0.362,+0.356,-0.652,+00.2590,-02.3920,+09.7080,+00.000177,+00.001231,+00.000997
+110.041,+001.441,+166.106,+0.360,+0.353,-0.658,+00.2220,-02.4080,+09.7150,-00.000145,-00.000201,+00.001343
+109.838,+001.439,+166.103,+0.361,+0.353,-0.654,+00.2330,-02.4190,+09.7190,+00.000964,-00.001159,+00.000976
